iter_idx,tree_count,thread_count,gradient_count,time
0,10,4,1000,14.694045066833496
0,10,4,10000,146.61169409751892
0,10,4,100000,1465.4483892917633
1,10,4,1000,14.767786741256714
1,10,4,10000,146.69048643112183
1,10,4,100000,1462.8826599121094
2,10,4,1000,14.504380702972412
2,10,4,10000,146.37195229530334
2,10,4,100000,1464.2156965732574
3,10,4,1000,14.5326247215271
3,10,4,10000,146.48569464683533
3,10,4,100000,1464.8496534824371
4,10,4,1000,14.698852300643921
4,10,4,10000,146.3835575580597
4,10,4,100000,1462.8121180534363
0,10,10,1000,7.581528425216675
0,10,10,10000,75.25855612754822
0,10,10,100000,752.741265296936
1,10,10,1000,7.547591209411621
1,10,10,10000,75.36451816558838
1,10,10,100000,752.8677246570587
2,10,10,1000,7.514552116394043
2,10,10,10000,75.25865173339844
2,10,10,100000,752.6059231758118
3,10,10,1000,7.551518201828003
3,10,10,10000,75.27595138549805
3,10,10,100000,753.1382086277008
4,10,10,1000,7.529083013534546
4,10,10,10000,75.24846243858337
4,10,10,100000,752.7630712985992
